0		GENERAL_GENERAL_GENERAL	Le Mat	0_Excuse_LeMat.jpg
	DENIER_PIQUE_TERRE	Pawn-6	6 de Terre / Pique / Denier	Chess_Pawn.jpg
	DENIER_PIQUE_TERRE	Pawn-5	5 de Terre / Pique / Denier	Chess_Pawn.jpg
	DENIER_PIQUE_TERRE	Pawn-4	4 de Terre / Pique / Denier	Chess_Pawn.jpg
	DENIER_PIQUE_TERRE	Pawn-3	3 de Terre / Pique / Denier	Chess_Pawn.jpg
	DENIER_PIQUE_TERRE	Pawn-2	2 de Terre / Pique / Denier	Chess_Pawn.jpg
	DENIER_PIQUE_TERRE	Pawn-1	1 de Terre / Pique / Denier	Chess_Pawn.jpg
EPEE_TREFLE_FEU	color_trefle.jpg	color_none.jpg	element_fire.jpg
	EPEE_TREFLE_FEU	King	Roi de Trêfle / Feu / Épée	Chess_King.jpg
	EPEE_TREFLE_FEU	Queen	Reine de Trêfle / Feu / Épée	Chess_Queen.jpg
	EPEE_TREFLE_FEU	Knight	Cavalier de Trêfle / Feu / Épée	Chess_Knight.jpg
	EPEE_TREFLE_FEU	Bishop	Valet de Trêfle / Feu / Épée	Chess_Bishop.jpg
	EPEE_TREFLE_FEU	Pawn-10	10 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-9	9 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-8	8 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-7	7 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-6	6 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-5	5 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-4	4 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-3	3 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-2	2 de Trêfle / Feu / Épée	Chess_Pawn.jpg
	EPEE_TREFLE_FEU	Pawn-1	1 de Trêfle / Feu / Épée	Chess_Pawn.jpg
